port_name,country,continent,area,silo_name,silo_id,silo_lon,silo_lat
Amagasaki,Japan,Asia,22272.17282765581,Amagasaki_Silo_6,silo_576,135.41119302038754,34.703126795277306
Osaka,Japan,Asia,33917.09563089342,Osaka_Silo_1,silo_577,135.42971068915864,34.66063862866888
Osaka,Japan,Asia,36115.598855496166,Osaka_Silo_2,silo_578,135.44740944124177,34.66653674213394
Osaka,Japan,Asia,36375.5810561551,Osaka_Silo_3,silo_579,135.44455514288973,34.663408185614934
Osaka,Japan,Asia,53669.05812221146,Osaka_Silo_4,silo_580,135.44196583545005,34.648328583459005
Subio Bay,Philippines,Asia,82223.08068318723,Subio Bay_Silo_1,silo_581,120.2678844903847,14.79965078264049
Manila,Philippines,Asia,8360.340506268887,Manila_Silo_1,silo_582,120.97183899577406,14.58279456461943
Manila,Philippines,Asia,26502.075035327725,Manila_Silo_2,silo_583,120.94556453031271,14.631024191857412
Cebu,Philippines,Asia,8432.373874949666,Cebu_Silo_1,silo_584,123.92523757426368,10.310744418375382
Cagatan De Oro,Philippines,Asia,22271.990367018167,Cagatan De Oro_Silo_1,silo_585,124.66299604195848,8.498650096217933
Iligan,Philippines,Asia,39955.6945504091,Iligan_Silo_1,silo_586,124.26210125533397,8.287220772523105
Iligan,Philippines,Asia,113925.53183541371,Iligan_Silo_2,silo_587,124.25887047369453,8.289260468515295
Iligan,Philippines,Asia,49747.693734080465,Iligan_Silo_3,silo_588,124.26109183014654,8.271686008948226
Jimenez,Philippines,Asia,39602.05188473444,Jimenez_Silo_1,silo_589,123.86153159139414,8.323154491999661
Zamboanga,Philippines,Asia,13673.029410181805,Zamboanga_Silo_1,silo_590,122.05276564569633,6.910995164084151
Zamboanga,Philippines,Asia,12124.541081448622,Zamboanga_Silo_2,silo_591,122.05596092009384,6.910682490199058
General Santos,Philippines,Asia,1081.4156800124547,General Santos_Silo_1,silo_592,125.15439254305727,6.092153244237144
Davao,Philippines,Asia,13223.019613917706,Davao_Silo_1,silo_593,125.64904555448346,7.210157967070325
Davao,Philippines,Asia,80351.88292481098,Davao_Silo_2,silo_594,125.65491597193179,7.176175137894747
Dumai,Indonesia,Asia,6728.666096286986,Dumai_Silo_1,silo_595,101.45558744856652,1.6858846272023507
Panjang,Indonesia,Asia,13548.617092916651,Panjang_Silo_1,silo_596,105.31803974134857,-5.472250682952223
Banten,Indonesia,Asia,104361.17774265123,Banten_Silo_1,silo_597,105.9423899261162,-6.023435248515885
Banten,Indonesia,Asia,11126.337282782637,Banten_Silo_2,silo_598,105.95585984227792,-6.019287673690573
Banten,Indonesia,Asia,56672.64465577149,Banten_Silo_3,silo_599,105.95905188520666,-6.020682234005148
Banten,Indonesia,Asia,568017.022247953,Banten_Silo_4,silo_600,105.96005247746959,-6.013134391247799
Banten,Indonesia,Asia,216653.8275855605,Banten_Silo_5,silo_601,105.96419324455437,-6.013213246008508
Banten,Indonesia,Asia,300697.3769680094,Banten_Silo_6,silo_602,105.96650470102195,-6.016142031731482
Banten,Indonesia,Asia,54666.16672309898,Banten_Silo_7,silo_603,105.96017605261663,-6.0226287015491184
Jakarta,Indonesia,Asia,29527.031323352272,Jakarta_Silo_1,silo_604,106.88473554132541,-6.097762458038925
Semarang,Indonesia,Asia,22843.13628049974,Semarang_Silo_1,silo_605,110.42080245333864,-6.949020531287297
Semarang,Indonesia,Asia,36488.44651791332,Semarang_Silo_2,silo_606,110.42443990194133,-6.951371995793071
Semarang,Indonesia,Asia,25999.71650212809,Semarang_Silo_3,silo_607,110.4239919842657,-6.9524189726749
Surabaya,Indonesia,Asia,6356.436363110698,Surabaya_Silo_1,silo_608,112.72931275677455,-7.209282804035806
Surabaya,Indonesia,Asia,34480.82290972221,Surabaya_Silo_2,silo_609,112.7244119720287,-7.208575962689716
Surabaya,Indonesia,Asia,30235.361710690817,Surabaya_Silo_3,silo_610,112.72253643869908,-7.210748411206035
Ampenan,Indonesia,Asia,18640.15824853002,Ampenan_Silo_1,silo_611,116.06995006244398,-8.728154134192447
Cilacap,Indonesia,Asia,27657.658216909884,Cilacap_Silo_1,silo_612,108.99248314879846,-7.7342084611544495
Cilacap,Indonesia,Asia,50848.719965302254,Cilacap_Silo_2,silo_613,108.99280707421782,-7.737185020048482
Cilacap,Indonesia,Asia,74706.17941402325,Cilacap_Silo_3,silo_614,108.99522007712997,-7.735157169974173
Banjarmasin,Indonesia,Asia,12358.421014674557,Banjarmasin_Silo_1,silo_615,114.56793723338444,-3.3019381953030407
Stagen,Indonesia,Asia,194293.96780943827,Stagen_Silo_1,silo_616,116.10462808211328,-3.27411625478637
Balikpapa,Indonesia,Asia,36946.42230029059,Balikpapa_Silo_1,silo_617,116.77947970370039,-1.1555055678915875
Balikpapa,Indonesia,Asia,118060.43778690137,Balikpapa_Silo_2,silo_618,116.79139017074218,-1.1801895596626317
Samarinda,Indonesia,Asia,28445.937933414665,Samarinda_Silo_1,silo_619,117.17476730380383,-0.558843324038087
Samarinda,Indonesia,Asia,12142.782667810163,Samarinda_Silo_2,silo_620,117.17608153118923,-0.559431953029609
Bontang LNG Terminal,Indonesia,Asia,20463.373629938986,Bontang LNG Terminal_Silo_1,silo_621,117.4950901993005,0.18064494801597553
Lahad Datu,Malaysia,Asia,14498.805066581186,Lahad Datu_Silo_1,silo_622,118.35083421948077,5.020195782523829
Sapangar Bay,Malaysia,Asia,87134.76678320818,Sapangar Bay_Silo_1,silo_623,116.13026999804968,6.083558180115524
Bintulu Port,Malaysia,Asia,110197.83943004883,Bintulu Port_Silo_1,silo_624,113.08323711393491,3.263247507535563
PLTU Semen Tonasa,Indonesia,Asia,144478.70352837647,PLTU Semen Tonasa_Silo_1,silo_625,119.50010409363757,-4.816854762810858
Ujung Pandang,Indonesia,Asia,29609.406065945637,Ujung Pandang_Silo_1,silo_626,119.40979648020678,-5.114484071564389
Ujung Pandang,Indonesia,Asia,17871.367808809584,Ujung Pandang_Silo_2,silo_627,119.4084864017974,-5.119047711437434
Ujung Pandang,Indonesia,Asia,12575.462198224352,Ujung Pandang_Silo_3,silo_628,119.41022451323566,-5.116903024365732
Ujung Pandang,Indonesia,Asia,17290.994158257792,Ujung Pandang_Silo_4,silo_629,119.41107301283144,-5.116883287031064
Kendari,Indonesia,Asia,5271.442995131077,Kendari_Silo_1,silo_630,122.60969477768563,-3.9781101469652316
Bitung,Indonesia,Asia,78960.45082971774,Bitung_Silo_1,silo_631,125.1671196894631,1.4404201400046208
Bitung,Indonesia,Asia,66650.77950175566,Bitung_Silo_2,silo_632,125.16330518230075,1.4400923877892342
Tg. Sorong,Indonesia,Asia,1821.503348236251,Tg. Sorong_Silo_1,silo_633,131.24780550977297,-0.8773808706315535
LNG Tangguh,Indonesia,Asia,40202.58261407686,LNG Tangguh_Silo_1,silo_634,133.12130380602255,-2.446036133439414
Port Moresby,Papua New Guinea,Asia,13603.124655675538,Port Moresby_Silo_1,silo_635,147.08881685342678,-9.449167508768738
Manokwari Road,Indonesia,Asia,217841.0706331815,Manokwari Road_Silo_1,silo_636,134.03145461949825,-0.9866972135512233
Kavieng Harbor,Papua New Guinea,Oceania,27462.953216726884,Kavieng Harbor_Silo_1,silo_637,150.78959545297417,-2.5848834277630033
Malai,Fiji,Oceania,41804.81866469618,Malai_Silo_1,silo_638,179.36652249168893,-16.36154605657505
Lautoka Harbor,Fiji,Oceania,105710.55865631989,Lautoka Harbor_Silo_1,silo_639,177.44251489484668,-17.609363053122106
Papeete,French Polynesia,Oceania,5426.485410093906,Papeete_Silo_1,silo_640,-149.5785101524893,-17.531439831475442
Sakai-Senboku,Japan,Asia,54669.06911748368,Sakai-Senboku_Silo_1,silo_641,135.43994788658392,34.573111313955074
Sakai-Senboku,Japan,Asia,29047.65283801249,Sakai-Senboku_Silo_2,silo_642,135.44042388931445,34.55917924242235
Sakai-Senboku,Japan,Asia,161766.95800229552,Sakai-Senboku_Silo_3,silo_643,135.43217915357698,34.576896749589146
Sakai-Senboku,Japan,Asia,48693.805878420746,Sakai-Senboku_Silo_4,silo_644,135.42240465635092,34.526642056020506
Sakai-Senboku,Japan,Asia,15323.487462268105,Sakai-Senboku_Silo_5,silo_645,135.4116746375625,34.521873639051
Sakai-Senboku,Japan,Asia,12887.982514433332,Sakai-Senboku_Silo_6,silo_646,135.38932617163417,34.524482383067244
Hannan Ko,Japan,Asia,11433.92067391307,Hannan Ko_Silo_1,silo_647,135.36726105025141,34.47394294492149
Hannan Ko,Japan,Asia,66576.99632706089,Hannan Ko_Silo_2,silo_648,135.35049203462577,34.45086773182678
Wakayama-Shimotsu Ko,Japan,Asia,25332.50398086781,Wakayama-Shimotsu Ko_Silo_1,silo_649,135.19513009630043,34.14339233639823
Wakayama-Shimotsu Ko,Japan,Asia,24724.972473011134,Wakayama-Shimotsu Ko_Silo_2,silo_650,135.14163608020382,34.22082611034686
Yokkaichi,Japan,Asia,92382.79023707974,Yokkaichi_Silo_1,silo_651,136.64147025084762,34.952723575116686
Yokkaichi,Japan,Asia,61889.42714017083,Yokkaichi_Silo_2,silo_652,136.6383475927163,34.958444391026674
Nagoya Ko,Japan,Asia,35487.48354819246,Nagoya Ko_Silo_1,silo_653,136.85745880297125,35.060315386710634
Nagoya Ko,Japan,Asia,23153.930663895346,Nagoya Ko_Silo_2,silo_654,136.85812386482706,35.06167402488421
Nagoya Ko,Japan,Asia,14607.748673251237,Nagoya Ko_Silo_3,silo_655,136.86838784596222,35.08958237796319
Nagoya Ko,Japan,Asia,93639.782065515,Nagoya Ko_Silo_4,silo_656,136.84186419090148,34.992095531573376
Nagoya Ko,Japan,Asia,95495.31110768972,Nagoya Ko_Silo_5,silo_657,136.85085881272732,35.00443845325063
Nagoya Ko,Japan,Asia,256235.80772729163,Nagoya Ko_Silo_6,silo_658,136.8475955812614,35.00595631425535
Nagoya Ko,Japan,Asia,57556.53653340458,Nagoya Ko_Silo_7,silo_659,136.85335224187244,35.004941500893096
